question,label,rank,temporality,feature,mode,model,f1_binary_mean,f1_binary_std,f1_macro_mean,f1_macro_std
1,anxiety,1,False,all,selection feature,GaussianNB,0.7197402597402597,0.08707184479601593,0.6403463203463203,0.07066069447539719
1,anxiety,2,False,all,selection feature,DecisionTreeClassifier,0.7188888888888888,0.20198093052636498,0.7099206349206348,0.13751073619873053
1,anxiety,3,False,all,Pass,GradientBoostingClassifier,0.6976190476190476,0.0792360061537797,0.6904761904761905,0.03992978531249619
1,depression,1,False,all,PCA,GaussianNB,0.6523809523809524,0.1342654493321113,0.7023809523809523,0.10301231130879031
1,depression,2,False,all,Pass,LinearSVC,0.6476190476190476,0.04259177099999601,0.7018614718614719,0.07982162648131097
1,depression,3,False,all,PCA,SVC,0.6314285714285715,0.18109643388909383,0.7003174603174603,0.15046392522513397
2,anxiety,1,False,all,PCA,SVC,0.6896969696969697,0.05659450923601823,0.401991341991342,0.1244276640708958
2,anxiety,2,False,all,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,anxiety,3,False,all,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
2,depression,1,False,all,Pass,LinearSVC,0.6947619047619048,0.17900265392831102,0.7363780663780664,0.12007829396486748
2,depression,2,False,all,Pass,LogisticRegression,0.6209523809523809,0.14791061834908326,0.6792352092352092,0.11616029583019899
2,depression,3,False,all,selection feature,LinearSVC,0.5614285714285714,0.36096525922496603,0.6431962481962482,0.2448642224173787
3,anxiety,1,False,all,Pass,RandomForestClassifier,0.7547619047619047,0.0676584392303944,0.7114285714285714,0.11668063570404179
3,anxiety,2,False,all,Pass,DecisionTreeClassifier,0.7528571428571429,0.14825515787565266,0.701031746031746,0.1853849168549839
3,anxiety,3,False,all,Pass,SVC,0.7466666666666667,0.07302967433402216,0.62,0.08612007121842544
3,depression,1,False,all,Pass,DecisionTreeClassifier,0.6066666666666667,0.1570562531918633,0.694949494949495,0.10243362452796106
3,depression,2,False,all,Pass,GaussianNB,0.4076190476190476,0.3808571309494039,0.5009523809523809,0.23968148848713033
3,depression,3,False,all,Pass,LinearSVC,0.3657142857142857,0.3716482866630651,0.5034920634920634,0.24425471919871683
4,anxiety,1,False,all,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
4,anxiety,2,False,all,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
4,anxiety,3,False,all,Pass,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
4,depression,1,False,all,PCA,DecisionTreeClassifier,0.49523809523809526,0.28091202292862144,0.519047619047619,0.2272609381605326
4,depression,2,False,all,PCA,GradientBoostingClassifier,0.48571428571428565,0.33060104681351965,0.5738888888888889,0.22764680156668676
4,depression,3,False,all,selection feature,GaussianNB,0.41904761904761906,0.31837170762755773,0.5155555555555555,0.22187941245403967
5,anxiety,1,False,all,selection feature,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
5,anxiety,2,False,all,PCA,HistGradientBoostingClassifier,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
5,anxiety,3,False,all,PCA,SVC,0.6896969696969697,0.05659450923601823,0.34484848484848485,0.028297254618009113
5,depression,1,False,all,selection feature,DecisionTreeClassifier,0.7123809523809523,0.11476091681060624,0.7633694083694083,0.09978110953706269
5,depression,2,False,all,Pass,GradientBoostingClassifier,0.5780952380952381,0.23708356497244884,0.6703174603174603,0.17739435693820638
5,depression,3,False,all,Pass,DecisionTreeClassifier,0.49000000000000005,0.3209361307176243,0.5793434343434344,0.20009805269103903
